Contestant,Outcome,Season,Instagram,State,Hometown,Town_Pop,Age,Ethnicity,Type,perc_win,perc_btm
Acid Betty,8th,8,348, New York,Brooklyn,2533000,37,Caucasian,Fashion,0,0.2
Adore Delano,Runner-up,6,2000, California,Azusa,49864,23,Latino,Performer,0.3,0.2
Aja,9th,9,947, New York,Brooklyn,2533000,22,African-American,Fashion,0,0.286
Akashia,7th,1,12.8, Ohio,Cleveland,385528,32,Caucasian,No Type,0,1
A'keria C. Davenport,Runner-up,11,257, Texas,Dallas,1341000,30,African-American,Pageant,0.154,0.154
Alaska,Runner-up,5,1700, Pennsylvania,Pittsburgh,302407,27,Caucasian,Comedy,0.182,0
Alexis Mateo,3rd,3,226, Florida,Saint Petersburg,263255,30,Latino,Performer,0.25,0.25
Alexis Michelle,5th,9,195, New York,New York City,8623000,33,Caucasian,Comedy,0.091,0.182
Alisa Summers,13th,4,0.81, Florida,Tampa,385430,23,Latino,No Type,0,1
Alyssa Edwards,6th,5,1600, Texas,Mesquite,143736,32,Caucasian,Performer,0.111,0.333
April Carrión,11th,6,337, Puerto Rico,Guaynabo,97864,24,Latino,Pageant,0,0.667
Aquaria,Winner,10,1500, New York,Brooklyn,2533000,21,Caucasian,Fashion,0.273,0
Ariel Versace,11th,11,458, New Jersey,Cherry Hill,71479,26,Caucasian,Fashion,0,0.167
Asia O'Hara,Runner-up,10,497, Texas,Dallas,1341000,35,African-American,Pageant,0.182,0.091
BeBe Zahara Benet,Winner,1,445, Minnesota,Minneapolis,422331,28,African-American,Fashion,0.333,0.167
BenDeLaCreme,5th,6,981, Washington,Seattle,724745,31,Caucasian,Comedy,0.2,0.2
Bianca Del Rio,Winner,6,2100, Louisiana,New Orleans,393292,36,Latino,Comedy,0.3,0
Blair St. Clair,9th,10,711, Indiana,Indianapolis,872680,22,Caucasian,Performer,0,0.167
Bob the Drag Queen,Winner,8,1100, New York,Brooklyn,2533000,29,African-American,Comedy,0.375,0.125
Brooke Lynn Hytes,Runner-up,11,1000, Tennessee,Nashville,691243,32,Caucasian,Pageant,0.231,0.154
Carmen Carrera,5th,3,539, New Jersey,Elmwood Park,20429,25,Latino,Fashion,0,0.3
Chad Michaels,Runner-up,4,482, California,San Diego,1420000,40,Caucasian,Comedy,0.182,0.091
Charlie Hides,12th,9,166,Massachusetts,Boston,685094,52,Caucasian,Comedy,0,0.25
Chi Chi DeVayne,4th,8,458, Louisiana,Shreveport,192036,30,African-American,Performer,0.125,0.25
Coco Montrese,5th,5,158, Nevada,Las Vegas,641676,37,African-American,Pageant,0.1,0.4
Courtney Act,Runner-up,6,1200, California,West Hollywood,37080,31,Caucasian,Performer,0.2,0
Cynthia Lee Fontaine,10th,8,307, Texas,Austin,950715,34,Latino,Pageant,0,0.333
Darienne Lake,4th,6,153, New York,Rochester,208046,41,Caucasian,Pageant,0.1,0.3
Dax ExclamationPoint,12th,8,79, Georgia,Savannah,146444,31,African-American,Fashion,0,0.5
Delta Work,7th,3,195, California,Norwalk,106084,34,Latino,No Type,0,0.429
Derrick Barry,5th,8,402, Nevada,Las Vegas,641676,32,Caucasian,Pageant,0.125,0.25
Detox,4th,5,1100, California,Los Angeles,4000000,27,Caucasian,Fashion,0.091,0.273
DiDa Ritz,6th,4,100, Illinois,Chicago,2716000,25,African-American,Performer,0,0.222
Dusty Ray Bottoms,11th,10,294, New York,New York City,8623000,29,Caucasian,No Type,0,0.25
Eureka O'Hara,Runner-up,10,498, Tennessee,Johnson City,66391,27,Caucasian,Pageant,0.182,0.182
Farrah Moan,8th,9,1000, Nevada,Las Vegas,641676,23,Caucasian,No Type,0,0.25
Gia Gunn,10th,6,630, Illinois,Chicago,2716000,23,Asian-American,Performer,0,0.25
Ginger Minj,Runner-up,7,507, Florida,Orlando,280257,29,Latino,Comedy,0.273,0.182
Honey Davenport,13th,11,112, New York,New York City,8623000,32,African-American,Pageant,0,0.25
Honey Mahogany,11th,5,37.3, California,San Francisco,884363,29,African-American,No Type,0,0.25
India Ferrah,10th,3,71.7, Ohio,Dayton,140371,23,Caucasian,Pageant,0,0.5
Ivy Winters,7th,5,339, New York,New York City,8623000,26,Caucasian,Fashion,0.125,0.125
Jade,6th,1,41.8, Illinois,Chicago,2716000,32,Latino,Performer,0,0.25
Jade Jolie,8th,5,161, Florida,Gainesville,132249,25,Caucasian,Pageant,0,0.167
Jaidynn Diore Fierce,8th,7,144, Tennessee,Nashville,691243,25,African-American,Performer,0,0.375
Jasmine Masters,12th,7,419, California,Los Angeles,4000000,37,African-American,Comedy,0,0.25
Jaymes Mansfield,14th,9,172, Wisconsin,Milwaukee,595351,26,Latino,Comedy,0,0.5
Jessica Wild,6th,2,119, Puerto Rico,San Juan,347052,29,Latino,No Type,0.143,0.143
Jiggly Caliente,8th,4,159, New York,Queens,2273000,30,Asian-American,Performer,0,0.429
Jinkx Monsoon,Winner,5,1100, Washington,Seattle,724745,24,Caucasian,Comedy,0.182,0.091
Joslyn Fox,6th,6,229, Massachusetts,Worcester,185677,26,Caucasian,No Type,0,0.222
Jujubee,Runner-up,2,588, Massachusetts,Boston,685094,25,Asian-American,Comedy,0,0.333
Kahanna Montrese,14th,11,99.1, Nevada,Las Vegas,641676,25,African-American,Pageant,0,0.667
Kalorie Karbdashian Williams,13th,10,147, New Mexico,Albuquerque,558545,27,Latino,Pageant,0,1
